Age,waa,maa,M,F,Stock,Reference,Order,Family,Genus,Species,Max_age
6,0.967,1,0.17,2.87,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
7,1.526,1,0.17,2.87,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
8,1.526,1,0.17,2.87,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
9,1.526,1,0.17,2.87,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
10,1.526,1,0.17,2.87,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
11,1.526,1,0.17,2.87,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
12,1.526,1,0.17,2.87,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
13,1.526,1,0.17,2.87,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
14,1.526,1,0.17,2.87,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
15,1.526,1,0.17,2.87,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
16,1.526,1,0.17,2.87,Madai-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
2,0.144,0,0.125,0.562271087,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
3,0.399018927,0,0.125,1,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
4,0.764986227,0.5,0.125,0.746454891,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
5,1.225977491,1,0.125,0.383366146,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
6,1.745020613,1,0.125,0.373121026,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
7,2.302259273,1,0.125,0.298554021,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
8,2.864178413,1,0.125,0.452731884,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
9,3.424040804,1,0.125,0.562124759,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
10,3.945042077,1,0.125,0.701226488,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
11,4.681078698,1,0.125,0.701226488,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
12,4.681078698,1,0.125,0.701226488,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
13,4.681078698,1,0.125,0.701226488,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
14,4.681078698,1,0.125,0.701226488,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
15,4.681078698,1,0.125,0.701226488,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
16,4.681078698,1,0.125,0.701226488,Madai-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
2,0.033,0,0.5,1,HatahataW-JS,201952,Perciformes,Trichodontidae,Arctoscopus,japonicus,4
3,0.056,1,0.5,1,HatahataW-JS,201952,Perciformes,Trichodontidae,Arctoscopus,japonicus,4
4,0.075,1,0.5,1,HatahataW-JS,201952,Perciformes,Trichodontidae,Arctoscopus,japonicus,4
5,0.088,1,0.5,1,HatahataW-JS,201952,Perciformes,Trichodontidae,Arctoscopus,japonicus,4
3,0.134,0,0.3,0.18,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
4,0.229,0,0.25,0.36,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
5,0.326,0.31,0.25,0.6,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
6,0.425,0.89,0.25,0.81,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
7,0.485,0.99,0.25,1.15,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
8,0.545,1,0.25,1.24,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
9,0.57,1,0.25,1.31,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
10,0.578,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
11,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
12,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
13,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
14,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
15,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
16,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
17,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
18,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
19,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
20,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
21,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
22,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
23,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
24,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
25,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
26,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
27,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
28,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
29,0.688,1,0.25,1,Suketou-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
1,0.047,0,0.4,0.026,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
2,0.096,0,0.35,0.025,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
3,0.195,0,0.3,0.111,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
4,0.348,0,0.25,0.2,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
5,0.472,0.2,0.25,0.548,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
6,0.555,0.8,0.25,0.906,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
7,0.612,0.9,0.25,0.906,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
8,0.651,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
9,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
10,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
11,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
12,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
13,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
14,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
15,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
16,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
17,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
18,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
19,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
20,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
21,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
22,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
23,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
24,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
25,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
26,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
27,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
28,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
29,0.696,1,0.25,1,Suketou-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
4,1.001,0.5,0.28,0.16,Madara-JS,FRA-SA20210BRP-02-1,Gadiformes,Gadidae,Gadus,macrocephalus,9
5,1.841,1,0.28,0.29,Madara-JS,FRA-SA20210BRP-02-1,Gadiformes,Gadidae,Gadus,macrocephalus,9
6,2.776,1,0.28,0.5,Madara-JS,FRA-SA20210BRP-02-1,Gadiformes,Gadidae,Gadus,macrocephalus,9
7,3.715,1,0.28,0.87,Madara-JS,FRA-SA20210BRP-02-1,Gadiformes,Gadidae,Gadus,macrocephalus,9
8,4.6,1,0.28,1,Madara-JS,FRA-SA20210BRP-02-1,Gadiformes,Gadidae,Gadus,macrocephalus,9
9,5.907,1,0.28,1,Madara-JS,FRA-SA20210BRP-02-1,Gadiformes,Gadidae,Gadus,macrocephalus,9
10,5.907,1,0.28,1,Madara-JS,FRA-SA20210BRP-02-1,Gadiformes,Gadidae,Gadus,macrocephalus,9
2,0.249,0,0.313,0.24,Madara-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
3,0.819,0,0.313,0.68,Madara-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
4,1.869,0.4,0.313,0.63,Madara-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
5,3.265,1,0.313,0.78,Madara-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
6,4.882,1,0.313,0.78,Madara-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
7,6.901,1,0.313,0.78,Madara-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
8,6.901,1,0.313,0.78,Madara-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
9,6.901,1,0.313,0.78,Madara-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
1,0.081,0,0.295,0.125,Hokke-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
2,0.164,0,0.295,0.84,Hokke-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
3,0.273,0.8,0.295,0.628,Hokke-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
4,0.343,1,0.295,1,Hokke-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
5,0.378,1,0.295,1,Hokke-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
6,0.378,1,0.295,1,Hokke-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
7,0.378,1,0.295,1,Hokke-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
8,0.378,1,0.295,1,Hokke-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
9,0.378,1,0.295,1,Hokke-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
10,0.378,1,0.295,1,Hokke-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
3,0.01,0,0.125,0.247747748,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
4,0.016,0,0.125,0.427927928,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
5,0.019,0,0.125,0.54954955,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
6,0.024,0,0.125,0.684684685,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
7,0.032,0,0.125,0.824324324,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
8,0.039,0,0.125,0.887387387,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
9,0.049,0.11,0.125,0.936936937,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
10,0.063,0.35,0.125,0.972972973,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
11,0.152,0.69,0.125,1,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
12,0.152,1,0.125,1,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
13,0.152,1,0.125,1,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
14,0.152,1,0.125,1,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
15,0.152,1,0.125,1,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
16,0.152,1,0.125,1,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
17,0.152,1,0.125,1,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
18,0.152,1,0.125,1,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
19,0.152,1,0.125,1,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
20,0.152,1,0.125,1,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
21,0.152,1,0.125,1,Kichiji-PA,201940,Scorpaeniformes,Sebastidae,Sebastolobus,macrochir,20
1,0.0167,0,0.4,0.36,Maiwashi-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
2,0.0449,0.2,0.4,0.37,Maiwashi-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
3,0.0814,1,0.4,0.49,Maiwashi-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
4,0.1048,1,0.4,1,Maiwashi-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
5,0.1205,1,0.4,1,Maiwashi-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
6,0.1381,1,0.4,1,Maiwashi-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
7,0.1381,1,0.4,1,Maiwashi-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
8,0.1381,1,0.4,1,Maiwashi-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
1,0.016,0,0.4,0.59,Maiwashi-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
2,0.043,0.25,0.4,0.34,Maiwashi-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
3,0.071,1,0.4,0.58,Maiwashi-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
4,0.09,1,0.4,1,Maiwashi-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
5,0.114,1,0.4,1,Maiwashi-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
6,0.114,1,0.4,1,Maiwashi-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
7,0.114,1,0.4,1,Maiwashi-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
8,0.114,1,0.4,1,Maiwashi-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
1,0.0047,0,1,0.274,Katakuchi-PA,2020Kenkyukikan_hyou2,Clupeiformes,Engraulidae,Engraulis,japonicus,3
2,0.01,1,1,0.887,Katakuchi-PA,2020Kenkyukikan_hyou2,Clupeiformes,Engraulidae,Engraulis,japonicus,3
3,0.0178,1,1.6,1,Katakuchi-PA,2020Kenkyukikan_hyou2,Clupeiformes,Engraulidae,Engraulis,japonicus,3
4,0.0213,1,1.9,1,Katakuchi-PA,2020Kenkyukikan_hyou2,Clupeiformes,Engraulidae,Engraulis,japonicus,3
1,0.00078,0,1,0.3,Katakuchi-EC,2020Kenkyukikan_hosokuhyou5-4,Clupeiformes,Engraulidae,Engraulis,japonicus,2
2,0.00867,1,1,1,Katakuchi-EC,2020Kenkyukikan_hosokuhyou5-4,Clupeiformes,Engraulidae,Engraulis,japonicus,2
3,0.0263,1,1,1,Katakuchi-EC,2020Kenkyukikan_hosokuhyou5-4,Clupeiformes,Engraulidae,Engraulis,japonicus,2
1,0.0159,0,0.7,0.23,Urumeiwashi-EC,2020Kenkyukikan_hyou2,Clupeiformes,Dussumieriidae,Etrumeus,micropus,3
2,0.0677,1,0.7,1,Urumeiwashi-EC,2020Kenkyukikan_hyou2,Clupeiformes,Dussumieriidae,Etrumeus,micropus,3
3,0.134,1,0.7,1,Urumeiwashi-EC,2020Kenkyukikan_hyou2,Clupeiformes,Dussumieriidae,Etrumeus,micropus,3
4,0.134,1,0.7,1,Urumeiwashi-EC,2020Kenkyukikan_hyou2,Clupeiformes,Dussumieriidae,Etrumeus,micropus,3
1,0.01,0,0.63,0.26,Urumeiwashi-PC,201921,Clupeiformes,Dussumieriidae,Etrumeus,micropus,6
2,0.02,1,0.63,1,Urumeiwashi-PC,201921,Clupeiformes,Dussumieriidae,Etrumeus,micropus,6
3,0.09,1,0.63,0.3,Urumeiwashi-PC,201921,Clupeiformes,Dussumieriidae,Etrumeus,micropus,6
4,0.09,1,0.63,0.69,Urumeiwashi-PC,201921,Clupeiformes,Dussumieriidae,Etrumeus,micropus,6
5,0.09,1,0.63,0.69,Urumeiwashi-PC,201921,Clupeiformes,Dussumieriidae,Etrumeus,micropus,6
6,0.09,1,0.63,0.69,Urumeiwashi-PC,201921,Clupeiformes,Dussumieriidae,Etrumeus,micropus,6
2,0.145687234,0,0.1,0.030637255,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
3,0.274993763,0,0.1,0.091911765,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
4,0.430574173,0,0.1,0.234681373,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
5,0.545617311,0.5,0.1,0.591911765,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
6,0.678010328,1,0.1,0.836397059,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
7,0.805161809,1,0.1,0.949142157,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
8,0.938355252,1,0.1,1,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
9,1.022132454,1,0.1,0.887254902,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
10,1.143331292,1,0.1,0.908088235,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
11,1.235769612,1,0.1,0.715073529,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
12,1.34347684,1,0.1,0.735294118,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
13,1.483675869,1,0.1,0.847426471,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
14,1.549097329,1,0.1,0.827205882,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
15,1.658069994,1,0.1,0.899509804,Kinmedai-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
