Age,waa,maa,M,F,Stock,Reference,Order,Family,Genus,Species,Max_age
4,3.54,1.00,0.30,1.00,JS.mack-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
5,4.93,1.00,0.30,1.00,JS.mack-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
6,4.93,1.00,0.30,1.00,JS.mack-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
7,4.93,1.00,0.30,1.00,JS.mack-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
8,4.93,1.00,0.30,1.00,JS.mack-SE,201959,Perciformes,Scombridae,Scomberomorus,niphonius,7
1,0.04,0,0.5,0.52,JJ.mack-PA,p32_20200805,Perciformes,Carangidae,Trachurus,japonicus,5
2,0.106,0.5,0.5,0.75,JJ.mack-PA,p32_20200805,Perciformes,Carangidae,Trachurus,japonicus,5
3,0.224,1,0.5,1,JJ.mack-PA,p32_20200805,Perciformes,Carangidae,Trachurus,japonicus,5
4,0.404,1,0.5,1,JJ.mack-PA,p32_20200805,Perciformes,Carangidae,Trachurus,japonicus,5
5,0.404,1,0.5,1,JJ.mack-PA,p32_20200805,Perciformes,Carangidae,Trachurus,japonicus,5
6,0.404,1,0.5,1,JJ.mack-PA,p32_20200805,Perciformes,Carangidae,Trachurus,japonicus,5
1,0.0276,0,0.5,0.1,JJ.mack-EC,hosoku_8_1_20200807,Perciformes,Carangidae,Trachurus,japonicus,5
2,0.0748,0.5,0.5,1,JJ.mack-EC,hosoku_8_1_20200807,Perciformes,Carangidae,Trachurus,japonicus,5
3,0.1536,1,0.5,0.74,JJ.mack-EC,hosoku_8_1_20200807,Perciformes,Carangidae,Trachurus,japonicus,5
4,0.359,1,0.5,0.22,JJ.mack-EC,hosoku_8_1_20200807,Perciformes,Carangidae,Trachurus,japonicus,5
5,0.359,1,0.5,0.22,JJ.mack-EC,hosoku_8_1_20200807,Perciformes,Carangidae,Trachurus,japonicus,5
6,0.359,1,0.5,0.22,JJ.mack-EC,hosoku_8_1_20200807,Perciformes,Carangidae,Trachurus,japonicus,5
1,0.08,0.00,0.39,0.28,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
2,0.20,0.00,0.24,1.00,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
3,0.35,0.00,0.17,1.61,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
4,0.53,0.50,0.17,2.26,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
5,0.73,1.00,0.17,2.79,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
6,0.97,1.00,0.17,3.56,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
7,1.53,1.00,0.17,3.56,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
8,1.53,1.00,0.17,3.56,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
9,1.53,1.00,0.17,3.56,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
10,1.53,1.00,0.17,3.56,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
11,1.53,1.00,0.17,3.56,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
12,1.53,1.00,0.17,3.56,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
13,1.53,1.00,0.17,3.56,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
14,1.53,1.00,0.17,3.56,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
15,1.53,1.00,0.17,3.56,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
16,1.53,1.00,0.17,3.56,Seabream-SEW,hosokuhyou2-1_201949,Perciformes,Sparidae,Pagrus,major,15
2,0.14,0.00,0.24,0.97,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
3,0.40,0.00,0.17,2.02,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
4,0.76,0.50,0.17,1.85,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
5,1.23,1.00,0.17,1.07,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
6,1.75,1.00,0.17,1.10,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
7,2.30,1.00,0.17,1.00,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
8,2.86,1.00,0.17,1.00,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
9,3.42,1.00,0.17,1.00,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
10,3.95,1.00,0.17,1.00,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
11,4.68,1.00,0.17,1.00,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
12,4.68,1.00,0.17,1.00,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
13,4.68,1.00,0.17,1.00,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
14,4.68,1.00,0.17,1.00,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
15,4.68,1.00,0.17,1.00,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
16,4.68,1.00,0.17,1.00,Seabream-EC,hosokuhyou2-1_201950,Perciformes,Sparidae,Pagrus,major,15
2,0.033,0,0.5,1,SandfishW-JS,201952,Perciformes,Trichodontidae,Arctoscopus,japonicus,4
3,0.056,1,0.5,1,SandfishW-JS,201952,Perciformes,Trichodontidae,Arctoscopus,japonicus,4
4,0.075,1,0.5,1,SandfishW-JS,201952,Perciformes,Trichodontidae,Arctoscopus,japonicus,4
5,0.088,1,0.5,1,SandfishW-JS,201952,Perciformes,Trichodontidae,Arctoscopus,japonicus,4
3,0.13,0.00,0.30,0.14,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
4,0.23,0.00,0.25,0.26,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
5,0.33,0.31,0.25,0.51,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
6,0.43,0.89,0.25,0.81,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
7,0.49,0.99,0.25,0.99,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
8,0.55,1.00,0.25,1.05,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
9,0.57,1.00,0.25,1.18,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
10,0.58,1.00,0.25,1.00,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
11,0.69,1.00,0.25,1.00,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
12,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
13,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
14,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
15,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
16,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
17,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
18,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
19,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
20,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
21,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
22,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
23,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
24,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
25,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
26,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
27,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
28,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
29,0.688,1,0.25,1,W.pollock-SOJ,hosoku2.5_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
1,0.04,0.00,0.40,0.01,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
2,0.11,0.00,0.35,0.02,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
3,0.22,0.00,0.30,0.08,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
4,0.36,0.00,0.25,0.15,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
5,0.48,0.20,0.25,0.40,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
6,0.56,0.80,0.25,0.70,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
7,0.64,0.90,0.25,1.00,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
8,0.70,1.00,0.25,0.83,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
9,0.73,1.00,0.25,0.79,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
10,0.76,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
11,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
12,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
13,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
14,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
15,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
16,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
17,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
18,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
19,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
20,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
21,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
22,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
23,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
24,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
25,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
26,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
27,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
28,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
29,0.82,1.00,0.25,0.89,W.pollock-PA,hosoku2.8_2019,Gadiformes,Gadidae,Theragra,chalcogramma,28
4,1.00,0.50,0.28,0.08,P.cod-JS,FRA-SA20210BRP-02-1,Gadiformes,Gadidae,Gadus,macrocephalus,9
5,1.84,1.00,0.28,0.17,P.cod-JS,FRA-SA20210BRP-02-1,Gadiformes,Gadidae,Gadus,macrocephalus,9
6,2.78,1.00,0.28,0.39,P.cod-JS,FRA-SA20210BRP-02-1,Gadiformes,Gadidae,Gadus,macrocephalus,9
7,3.72,1.00,0.28,0.78,P.cod-JS,FRA-SA20210BRP-02-1,Gadiformes,Gadidae,Gadus,macrocephalus,9
8,4.60,1.00,0.28,1.00,P.cod-JS,FRA-SA20210BRP-02-1,Gadiformes,Gadidae,Gadus,macrocephalus,9
9,5.50,1.00,0.28,1.00,P.cod-JS,FRA-SA20210BRP-02-1,Gadiformes,Gadidae,Gadus,macrocephalus,9
10,5.50,1.00,0.28,1.00,P.cod-JS,FRA-SA20210BRP-02-1,Gadiformes,Gadidae,Gadus,macrocephalus,9
2,0.29,0.00,0.36,0.16,P.cod-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
3,1.24,0.00,0.36,0.53,P.cod-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
4,2.40,0.37,0.36,0.48,P.cod-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
5,4.00,0.65,0.36,0.66,P.cod-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
6,5.79,1.00,0.36,1.00,P.cod-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
7,8.07,1.00,0.36,1.00,P.cod-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
8,8.07,1.00,0.36,1.00,P.cod-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
9,8.07,1.00,0.36,1.00,P.cod-PA,201934,Gadiformes,Gadidae,Gadus,macrocephalus,8
1,0.09,0.00,0.30,0.24,A.green-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
2,0.19,0.80,0.30,0.89,A.green-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
3,0.31,1.00,0.30,0.91,A.green-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
4,0.38,1.00,0.30,1.01,A.green-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
5,0.41,1.00,0.30,1.00,A.green-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
6,0.41,1.00,0.30,1.00,A.green-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
7,0.41,1.00,0.30,1.00,A.green-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
8,0.41,1.00,0.30,1.00,A.green-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
9,0.41,1.00,0.30,1.00,A.green-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
10,0.41,1.00,0.30,1.00,A.green-DN,hosoku2.3_2019,Scorpaeniformes,Hexagrammidae,Pleurogrammus,azonus,9
1,0.0167,0,0.4,0.36,J.sardine-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
2,0.0449,0.2,0.4,0.37,J.sardine-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
3,0.0814,1,0.4,0.49,J.sardine-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
4,0.1048,1,0.4,1,J.sardine-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
5,0.1205,1,0.4,1,J.sardine-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
6,0.1381,1,0.4,1,J.sardine-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
7,0.1381,1,0.4,1,J.sardine-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
8,0.1381,1,0.4,1,J.sardine-PA,Howokuzu7.1-2020,Clupeiformes,Clupeidae,Sardinops,sagax,7
1,0.016,0,0.4,0.59,J.sardine-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
2,0.043,0.25,0.4,0.34,J.sardine-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
3,0.071,1,0.4,0.58,J.sardine-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
4,0.09,1,0.4,1,J.sardine-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
5,0.114,1,0.4,1,J.sardine-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
6,0.114,1,0.4,1,J.sardine-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
7,0.114,1,0.4,1,J.sardine-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
8,0.114,1,0.4,1,J.sardine-EC,p59_20200914,Clupeiformes,Clupeidae,Sardinops,sagax,7
1,0.00,0.00,1.00,0.27,J.anchovy-PA,2020Kenkyukikan_hyou2,Clupeiformes,Engraulidae,Engraulis,japonicus,3
2,0.01,1.00,1.00,0.89,J.anchovy-PA,2020Kenkyukikan_hyou2,Clupeiformes,Engraulidae,Engraulis,japonicus,3
3,0.02,1.00,1.60,1.00,J.anchovy-PA,2020Kenkyukikan_hyou2,Clupeiformes,Engraulidae,Engraulis,japonicus,3
4,0.02,1.00,1.90,1.00,J.anchovy-PA,2020Kenkyukikan_hyou2,Clupeiformes,Engraulidae,Engraulis,japonicus,3
1,0.00,0.00,1.00,0.09,J.anchovy-EC,2020Kenkyukikan_hosokuhyou5-4,Clupeiformes,Engraulidae,Engraulis,japonicus,2
2,0.01,1.00,1.00,1.00,J.anchovy-EC,2020Kenkyukikan_hosokuhyou5-4,Clupeiformes,Engraulidae,Engraulis,japonicus,2
3,0.03,1.00,1.00,1.00,J.anchovy-EC,2020Kenkyukikan_hosokuhyou5-4,Clupeiformes,Engraulidae,Engraulis,japonicus,2
1,0.0159,0,0.7,0.23,R.herring-EC,2020Kenkyukikan_hyou2,Clupeiformes,Dussumieriidae,Etrumeus,micropus,3
2,0.0677,1,0.7,1,R.herring-EC,2020Kenkyukikan_hyou2,Clupeiformes,Dussumieriidae,Etrumeus,micropus,3
3,0.134,1,0.7,1,R.herring-EC,2020Kenkyukikan_hyou2,Clupeiformes,Dussumieriidae,Etrumeus,micropus,3
4,0.134,1,0.7,1,R.herring-EC,2020Kenkyukikan_hyou2,Clupeiformes,Dussumieriidae,Etrumeus,micropus,3
3,0.29,0.00,0.10,0.10,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
4,0.43,0.00,0.10,0.23,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
5,0.54,0.50,0.10,0.54,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
6,0.67,1.00,0.10,0.71,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
7,0.78,1.00,0.10,0.78,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
8,0.90,1.00,0.10,0.79,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
9,0.99,1.00,0.10,0.74,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
10,1.11,1.00,0.10,0.70,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
11,1.20,1.00,0.10,0.63,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
12,1.31,1.00,0.10,0.65,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
13,1.44,1.00,0.10,0.77,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
14,1.50,1.00,0.10,0.89,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
15,1.62,1.00,0.10,1.00,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
16,1.72,1.00,0.10,1.00,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
17,1.72,1.00,0.10,1.00,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
18,1.72,1.00,0.10,1.00,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
19,1.72,1.00,0.10,1.00,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
20,1.72,1.00,0.10,1.00,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
21,1.72,1.00,0.10,1.00,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
22,1.72,1.00,0.10,1.00,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
23,1.72,1.00,0.10,1.00,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
24,1.72,1.00,0.10,1.00,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
25,1.72,1.00,0.10,1.00,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
26,1.72,1.00,0.10,1.00,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
27,1.72,1.00,0.10,1.00,S.alfonsino-PA,201937,Beryciformes,Berycidae,Beryx,splendens,26
2,0.26,0.00,0.23,0.20,O.flounder-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
3,0.65,0.25,0.23,0.87,O.flounder-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
4,1.12,0.75,0.23,1.00,O.flounder-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
5,1.58,1.00,0.23,0.98,O.flounder-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
6,2.64,1.00,0.23,0.98,O.flounder-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
7,2.64,1.00,0.23,0.98,O.flounder-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
8,2.64,1.00,0.23,0.98,O.flounder-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
9,2.64,1.00,0.23,0.98,O.flounder-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
10,2.64,1.00,0.23,0.98,O.flounder-NP,201960,Pleuronectiformes,Paralichthyidae,Paralichthys,olivaceus,11
